date,name,ssg_bout,coach,total_distance_m,high_speed_distance_m,max_vel_ms,acceleration_density,stagnos_trimp
24/07/2019,1,1,0,228.35101,0,4.5095,0.66577,756.42
24/07/2019,2,1,0,226.87846,2.24,5.0255,0.58758,503.78
24/07/2019,3,1,0,197.37239,0,4.1455,0.64668,548.72
24/07/2019,4,1,0,210.91566,0,4.0025,0.57717,610.72
24/07/2019,5,1,1,239.92908,0,4.9785,0.71865,550.27
24/07/2019,6,1,1,245.492,0,3.6355,0.6509,541.9
24/07/2019,7,1,1,243.85744,0,4.5805,0.73648,699.07
24/07/2019,8,1,0,257.55505,4.63,5.6825,0.80443,552.33
24/07/2019,9,1,1,217.66879,0,4.3065,0.69657,424.99
24/07/2019,10,1,1,227.41341,0,4.7425,0.67817,552.33
24/07/2019,11,1,1,230.91025,0,4.3035,0.66781,552.33
24/07/2019,12,1,1,217.28212,0,3.4635,0.65637,604.52
24/07/2019,13,1,1,253.82294,1.89,5.3645,0.73086,552.33
24/07/2019,14,1,0,238.75163,0,3.5275,0.65603,463.12
24/07/2019,15,1,0,255.55324,0.86,4.9195,0.7345,552.33
24/07/2019,16,1,0,208.10498,0,4.3535,0.63328,523.71
24/07/2019,17,1,0,277.96185,10.8,6.1115,0.71851,633.46
24/07/2019,18,1,1,186.97601,0,4.2925,0.72084,191.25
27/07/2019,1,1,0,268.54187,4.48,5.2975,0.65093,593.16
27/07/2019,2,1,0,255.87659,2.31,4.9295,0.63106,454.85
27/07/2019,4,1,0,246.13591,0,4.3875,0.57767,524.76
27/07/2019,5,1,0,273.92249,4.22,5.1765,0.69501,469.98
27/07/2019,8,1,0,286.15506,1.96,5.1375,0.74515,376.83
27/07/2019,14,1,0,264.81473,0,4.1225,0.60269,365.98
27/07/2019,15,1,0,257.61847,0.4,4.8025,0.64011,466.87
27/07/2019,16,1,0,261.01874,8.71,4.7855,0.65012,493.61
27/07/2019,18,1,0,269.40302,0,4.3945,0.64392,513.83
22/07/2019,1,1,1,181.62006,0,4.5135,0.66841,763.68
22/07/2019,2,1,1,244.27896,0,4.2005,0.57687,530.67
22/07/2019,3,1,1,219.63777,0,3.6315,0.57961,624.18
22/07/2019,6,1,1,226.62102,0,4.4675,0.68968,545.13
22/07/2019,9,1,1,263.12347,0,4.0165,0.6548,469.3
22/07/2019,10,1,1,197.82523,0,4.7015,0.73204,579.23
22/07/2019,11,1,1,228.30458,0,4.8995,0.76907,597.83
22/07/2019,19,1,1,231.6687,1.36,5.0415,0.72789,543.58
22/07/2019,13,1,1,242.24557,0,4.4825,0.79493,534.28
17/07/2019,1,1,1,233.84036,1.3,5.0725,0.70875,774
17/07/2019,2,1,1,257.55573,0.42,4.7775,0.74352,660.34
17/07/2019,3,1,1,209.87724,6.85,6.2985,0.72047,714.59
17/07/2019,4,1,0,217.82739,1.23,5.0225,0.60629,767.29
17/07/2019,5,1,0,225.87996,1.46,5.1475,0.70908,736.29
17/07/2019,6,1,1,253.07996,0,4.9025,0.64298,533.61
17/07/2019,7,1,0,254.60431,4.08,4.8975,0.76601,762.64
17/07/2019,9,1,1,244.73982,3.8,5.1175,0.66463,540.48
17/07/2019,11,1,1,243.82007,0,4.2955,0.62735,672.74
17/07/2019,20,1,0,243.72133,10.17,5.3115,0.70693,720.79
17/07/2019,19,1,1,219.98401,0.43,4.9035,0.69604,714.1
17/07/2019,12,1,0,225.81721,0,3.6215,0.62338,745.59
17/07/2019,13,1,1,262.19156,0,5.0675,0.75907,545.64
17/07/2019,21,1,1,232.36942,2.29,5.0385,0.71689,633.99
17/07/2019,14,1,0,241.09367,0,4.2485,0.69758,539.44
17/07/2019,15,1,0,259.8985,0,4.0385,0.81768,746.63
17/07/2019,16,1,0,230.7912,0,3.5485,0.61075,621.08
17/07/2019,18,1,0,218.04849,0,3.9755,0.65047,584.39
17/07/2019,1,2,1,233.22482,0,3.8345,0.62182,704.27
17/07/2019,2,2,1,240.68726,0.84,4.7015,0.65703,563.68
17/07/2019,3,2,1,194.48814,0,4.3005,0.65207,630.53
17/07/2019,4,2,0,229.6991,6.41,5.2785,0.60203,686.96
17/07/2019,5,2,0,248.68962,1.88,5.1025,0.7357,675.19
17/07/2019,6,2,1,258.08261,0,4.6605,0.68484,505.49
17/07/2019,7,2,0,268.76892,0.4,4.7985,0.72702,707.66
17/07/2019,9,2,1,268.90103,0,4.4685,0.73987,499.72
17/07/2019,11,2,1,236.46236,0,4.2145,0.72982,651.76
17/07/2019,20,2,0,254.5742,0,4.1715,0.71485,694.38
17/07/2019,19,2,1,221.21494,0,4.7645,0.75737,461.41
17/07/2019,12,2,0,233.51103,0,4.2395,0.57478,702.49
17/07/2019,13,2,1,285.47763,1.88,5.2805,0.6534,535.46
17/07/2019,21,2,1,220.37924,0,4.7765,0.77113,560.46
17/07/2019,14,2,0,237.95244,0,4.7135,0.6615,538.71
17/07/2019,15,2,0,265.29297,0,4.5675,0.72091,721.24
17/07/2019,16,2,0,229.40866,0,3.5675,0.59414,607.07
17/07/2019,18,2,0,239.28098,1.86,4.8455,0.65111,593.77
24/07/2019,1,2,0,255.62711,0,4.3865,0.74598,658.08
24/07/2019,2,2,0,245.86002,0,4.3885,0.62795,441.19
24/07/2019,3,2,0,210.47595,8.35,5.6805,0.70588,553.93
24/07/2019,4,2,0,242.97723,0,4.3025,0.65414,585.38
24/07/2019,5,2,1,235.95593,0,4.6795,0.73298,550.62
24/07/2019,6,2,1,232.75781,0,4.3345,0.67839,472.31
24/07/2019,7,2,1,255.71436,0.41,4.7085,0.74405,651.49
24/07/2019,8,2,0,239.47813,2.26,5.3045,0.75311,544.02
24/07/2019,9,2,1,220.30298,1.83,5.0665,0.73941,491.87
24/07/2019,10,2,1,222.58899,0,5.0115,0.77545,532.2
24/07/2019,11,2,1,246.97025,0,4.5865,0.66243,516.55
24/07/2019,12,2,1,240.94205,0,3.7125,0.63619,589.33
24/07/2019,13,2,1,253.44864,0,3.8915,0.74671,483.17
24/07/2019,14,2,0,227.51944,0,3.3895,0.64756,465.65
24/07/2019,15,2,0,243.12402,0.31,4.8395,0.7628,411.26
24/07/2019,16,2,0,237.54398,0,4.1985,0.72875,507.49
24/07/2019,17,2,0,263.00549,6.14,5.3615,0.75054,693.36
24/07/2019,18,2,1,187.28406,0,4.3945,0.65342,191.25
27/07/2019,1,2,0,257.14001,1.92,4.9335,0.72152,617.96
27/07/2019,2,2,0,262.47192,0,4.5205,0.5793,469.3
27/07/2019,4,2,0,275.63425,17.91,5.9785,0.64376,531.48
27/07/2019,5,2,0,317.82605,0,4.8275,0.7399,491.46
27/07/2019,8,2,0,259.9155,17.37,6.0535,0.79246,455.94
27/07/2019,14,2,0,262.54593,0,4.3115,0.57448,393.88
27/07/2019,15,2,0,271.04962,11.13,5.5515,0.80168,582.41
27/07/2019,16,2,0,252.07092,0,4.0535,0.63781,484.96
27/07/2019,18,2,0,241.17786,0,4.0345,0.59871,441.38
22/07/2019,1,2,1,256.43796,2.98,5.2805,0.64214,702.9
22/07/2019,2,2,1,274.43399,3.23,4.9335,0.69954,570.89
22/07/2019,3,2,1,210.68658,0,4.0265,0.71886,604.68
22/07/2019,6,2,1,266.26776,0,4.2055,0.69397,495.31
22/07/2019,9,2,1,263.25491,7.84,5.4405,0.74663,566.77
22/07/2019,10,2,1,234.40828,0,4.2435,0.72211,564.69
22/07/2019,11,2,1,220.98911,0.46,5.0455,0.70926,610.36
22/07/2019,19,2,1,271.74222,0,4.8385,0.68851,628.72
22/07/2019,13,2,1,257.57571,0,5.0965,0.83031,476.25
24/07/2019,1,3,0,252.83997,0,4.2385,0.69052,686.18
24/07/2019,2,3,0,241.6192,0,3.8095,0.61023,484.59
24/07/2019,3,3,0,233.85107,2.68,4.6335,0.67257,650.94
24/07/2019,4,3,0,248.50557,0,4.5645,0.64182,678.43
24/07/2019,5,3,1,221.90906,0,4.1155,0.66027,553.87
