date,ssg_bout,coach,pass,incomplete_pass,ruck,try,linebreak
2019-07-17,1,0,25,0,20,2,0
2019-07-17,2,0,27,3,22,2,1
2019-07-17,3,0,21,0,20,2,2
2019-07-17,4,0,26,2,24,4,3
2019-07-17,5,0,28,1,22,4,1
2019-07-17,1,1,29,0,22,2,0
2019-07-17,2,1,29,3,24,3,0
2019-07-17,3,1,22,3,20,4,1
2019-07-17,4,1,29,2,22,3,1
2019-07-17,5,1,28,2,23,2,1
2019-07-22,1,1,32,3,26,2,0
2019-07-22,2,1,36,2,26,3,0
2019-07-22,3,1,32,4,22,4,0
2019-07-22,4,1,27,2,23,1,0
2019-07-22,5,1,33,1,26,2,1
2019-07-24,1,0,30,1,24,1,0
2019-07-24,2,0,32,1,25,3,1
2019-07-24,3,0,31,0,24,3,0
2019-07-24,4,0,26,4,23,2,0
2019-07-24,5,0,28,1,26,3,1
2019-07-24,1,1,33,0,28,1,0
2019-07-24,2,1,33,1,24,5,0
2019-07-24,3,1,27,4,23,2,2
2019-07-24,4,1,29,1,26,3,0
2019-07-24,5,1,30,4,28,1,0
2019-07-27,1,0,30,2,19,3,2
2019-07-27,2,0,28,4,18,5,3
2019-07-27,3,0,37,4,22,4,2
2019-07-27,4,0,39,2,22,2,2
2019-07-27,5,0,36,3,18,3,2
