players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,stagnos_trimp
24,13/07/2019,1,282.32062,0,0.66228,28.14898,12.11456,0,429.6
25,13/07/2019,1,242.43939,12.7,0.649,27.8815,11.69804,3,400.61
27,13/07/2019,1,264.72525,0,0.65738,30.19558,13.0204,0,220.34
28,13/07/2019,1,271.93414,7.61,0.87651,28.56437,9.81487,2,451.26
29,13/07/2019,1,261.07498,0,0.6949,29.71969,13.06316,1,0
30,13/07/2019,1,254.51114,1.5,0.76826,27.55807,12.30783,2,377.81
31,13/07/2019,1,248.13365,3.56,0.79444,22.64714,7.98717,1,392.81
34,13/07/2019,1,281.00897,0,0.82047,36.41663,15.64956,0,457.95
35,13/07/2019,1,263.18369,0,0.7604,29.5152,12.43486,1,309.17
36,13/07/2019,1,244.09778,0,0.7142,24.60046,10.50275,0,281.72
37,13/07/2019,1,257.4353,9.05,0.70098,25.42761,10.24934,3,354.68
38,13/07/2019,1,255.80238,10.65,0.72134,25.6137,8.73626,0,310.09
24,13/07/2019,2,267.62708,13.04,0.68752,27.46934,9.05862,2,364.31
25,13/07/2019,2,230.43472,3.07,0.67072,26.04015,11.89086,1,356.52
27,13/07/2019,2,227.73915,0,0.72464,24.15563,9.30886,1,245.22
28,13/07/2019,2,253.08051,0,0.77882,26.92549,10.99662,2,480.03
29,13/07/2019,2,252.74309,0,0.70464,28.35092,11.87733,1,0
30,13/07/2019,2,269.60916,0,0.73509,28.61199,11.6218,2,450.32
31,13/07/2019,2,250.4919,0,0.7244,23.719,8.9772,0,396.01
34,13/07/2019,2,224.23596,0,0.74213,29.6402,12.16432,2,445.36
35,13/07/2019,2,268.45425,13.18,0.8465,33.53918,12.14529,4,381.69
36,13/07/2019,2,224.20769,0,0.80992,24.22317,10.67905,0,336.91
37,13/07/2019,2,280.34161,4.22,0.67458,25.99492,7.80645,0,377.17
38,13/07/2019,2,259.9209,6.31,0.77325,27.52971,9.16009,0,309.04
24,13/07/2019,3,293.80569,0,0.71446,29.97482,11.21603,0,487.74
25,13/07/2019,3,306.35608,3.23,0.82177,32.2115,9.68099,1,501.57
27,13/07/2019,3,270.00662,5.01,0.74726,29.85623,12.45689,1,401.31
28,13/07/2019,3,289.57413,6.61,0.80229,32.20352,11.05206,4,630.09
29,13/07/2019,3,307.62512,0,0.72691,33.42283,11.52768,0,0
30,13/07/2019,3,292.89359,0,0.7444,33.04002,12.82342,2,600.17
31,13/07/2019,3,233.9606,0,0.76566,24.08394,10.82673,3,203.04
34,13/07/2019,3,296.45087,0.39,0.8541,40.14404,14.70612,2,546.43
35,13/07/2019,3,269.21817,2.03,0.74293,30.12452,12.97428,4,452.43
36,13/07/2019,3,277.58881,11.38,0.83542,29.2433,10.51138,2,468
37,13/07/2019,3,318.28592,0,0.7329,29.54647,7.33654,0,453.97
38,13/07/2019,3,269.4389,0,0.76054,30.28028,11.42812,0,419.51
24,13/07/2019,4,306.70517,2.63,0.68825,32.41528,10.5213,2,546.92
25,13/07/2019,4,305.26971,3.39,0.72991,32.21018,8.98143,0,520.98
27,13/07/2019,4,325.96774,0,0.67979,33.68164,9.79743,0,386.43
28,13/07/2019,4,299.16821,28.24,0.78898,30.05969,9.56929,3,685.98
29,13/07/2019,4,313.13126,2.66,0.68223,36.68077,11.90436,0,0
30,13/07/2019,4,285.03992,4.68,0.71006,27.88252,10.86297,1,584.27
31,13/07/2019,4,272.31381,25.54,0.75034,25.42073,6.62793,0,400.28
34,13/07/2019,4,282.38416,0,0.74358,35.03545,11.4368,0,533.74
35,13/07/2019,4,321.9397,4.46,0.75786,34.33506,9.79592,2,498.01
36,13/07/2019,4,300.27847,0,0.81005,32.9292,10.64339,2,476.71
37,13/07/2019,4,304.80942,0,0.73918,30.68027,8.56864,3,457.89
38,13/07/2019,4,277.46759,6.15,0.79329,29.55996,10.84089,0,406.35
24,15/07/2019,1,296.76874,0,0.70959,30.54554,10.07665,0,489.17
25,15/07/2019,1,257.24994,8.84,0.72117,27.37367,10.88697,0,466.45
26,15/07/2019,1,319.36942,0,0.73101,35.62197,10.48695,0,438.88
