players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
1,13/07/2019,1,208.23401,0,0.66319,26.68819,14.44525,0,0,577.59
2,13/07/2019,1,206.48199,1.81,0.68987,23.73262,12.81293,5,0,460.24
7,13/07/2019,1,221.96191,0,0.62681,28.04267,14.63537,0,0,417.03
6,13/07/2019,1,249.86798,0,0.8106,28.2079,12.47245,1,3,649.42
8,13/07/2019,1,233.41803,0,0.78558,24.6769,12.25027,2,5,456.82
9,13/07/2019,1,197.03091,0,0.63504,24.99375,12.203,0,0,415.89
11,13/07/2019,1,218.896,0,0.69706,24.17407,11.81744,0,0,425.28
12,13/07/2019,1,234.36055,0,0.69978,30.40961,14.21237,2,0,491.35
13,13/07/2019,1,255.35101,0,0.77797,26.67116,10.47064,1,3,463.42
14,13/07/2019,1,226.61081,3.56,0.86322,29.01926,11.74978,7,3,497.88
15,13/07/2019,1,208.08267,0,0.70924,22.40753,12.23005,1,2,473.4
16,13/07/2019,1,228.14001,8.57,0.73758,27.31081,11.94396,0,0,290.35
17,13/07/2019,1,248.41602,0,0.70114,26.02047,12.87011,2,2,475.08
18,13/07/2019,1,242.38405,4.32,0.73028,28.53944,12.75842,0,0,381.52
19,13/07/2019,1,253.49402,0,0.76748,27.79593,11.63613,2,0,464.9
20,13/07/2019,1,210.14664,0,0.69029,26.93524,14.5379,0,0,449.29
22,13/07/2019,1,223.42491,0,0.6662,27.73976,14.3004,0,3,477.8
23,13/07/2019,1,227.99004,0,0.68883,27.56341,13.8026,0,0,414.31
1,13/07/2019,2,220.59286,0,0.71112,28.13784,14.25616,0,0,681.86
2,13/07/2019,2,243.36159,1.97,0.70274,26.38872,12.20395,1,1,465.69
7,13/07/2019,2,243.48015,0,0.73287,32.98095,14.94022,0,0,457.01
6,13/07/2019,2,264.51987,4.7,0.77704,32.81327,12.01409,4,1,714.89
8,13/07/2019,2,267.62317,7.15,0.77903,29.24962,12.47033,3,0,454.27
9,13/07/2019,2,244.96378,2.44,0.75333,31.97661,14.28668,0,0,474.63
11,13/07/2019,2,237.49298,0.36,0.76154,26.02807,14.0346,0,0,496.36
12,13/07/2019,2,276.92908,10.19,0.76349,37.92649,12.67838,3,1,509.31
13,13/07/2019,2,268.42801,0,0.78094,27.67653,10.61058,2,4,551.54
14,13/07/2019,2,250.69099,4.9,0.76859,24.07248,9.96803,1,2,522.47
15,13/07/2019,2,228.91162,0.89,0.66639,23.23306,9.48328,1,1,495.37
16,13/07/2019,2,275.89941,0,0.80021,29.85032,11.95255,0,0,454.95
17,13/07/2019,2,237.36958,0,0.70426,26.9416,12.83149,1,2,477.07
18,13/07/2019,2,258.48944,0,0.74225,30.46463,11.95911,0,0,482.99
19,13/07/2019,2,263.75177,6.52,0.73428,27.86068,9.91935,2,2,439.93
20,13/07/2019,2,241.50862,4.21,0.73945,32.71753,13.33889,0,0,503.25
22,13/07/2019,2,251.7068,0,0.71014,30.78711,11.66566,0,4,524.54
23,13/07/2019,2,250.2438,0,0.73295,32.53328,16.27363,0,0,481.65
1,13/07/2019,3,246.021,0.67,0.68643,27.96817,11.22855,0,0,699.82
2,13/07/2019,3,242.73485,5.05,0.71477,30.03289,13.95386,4,3,504.65
7,13/07/2019,3,249.4901,0,0.74289,31.66145,14.00391,0,0,491.66
6,13/07/2019,3,247.9371,0,0.70833,30.32901,14.00453,2,0,681
8,13/07/2019,3,261.34201,0,0.71209,27.30653,11.09348,0,2,545.57
9,13/07/2019,3,232.28809,5.5,0.63161,28.93622,15.08948,0,0,502.83
11,13/07/2019,3,245.87129,0,0.79642,24.09349,10.94034,0,0,611.16
12,13/07/2019,3,245.56693,1.75,0.73552,37.7719,19.85551,6,3,611.94
13,13/07/2019,3,230.15367,0,0.70684,25.65413,12.93845,2,4,608.08
14,13/07/2019,3,246.21933,0,0.73942,25.84463,10.27235,2,2,545.97
15,13/07/2019,3,227.07654,5.49,0.69088,24.29562,10.14644,2,1,509.05
16,13/07/2019,3,286.72095,0,0.73498,31.80443,10.85892,0,0,484.04
17,13/07/2019,3,229.82846,0,0.68049,25.80454,12.6296,1,3,542.21
18,13/07/2019,3,249.39255,0,0.67596,28.99042,13.04344,0,0,505.94
19,13/07/2019,3,281.86124,0,0.72114,31.388,12.86324,1,0,488.38
20,13/07/2019,3,223.22803,0,0.67721,31.19636,15.33444,0,0,616.86
22,13/07/2019,3,225.53009,0,0.60351,27.23188,14.32045,0,2,523.02
23,13/07/2019,3,270.20276,0,0.78837,33.59306,12.8877,0,0,505.19
1,13/07/2019,4,209.52498,0,0.66218,27.24267,14.00164,0,0,687.08
2,13/07/2019,4,206.19731,0,0.62311,27.29507,16.88959,3,0,486.96
