players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
24,13/07/2019,1,295.81326,0,0.59685,26.4157,8.85017,1,4,420.9
25,13/07/2019,1,291.66806,11,0.66188,29.292,10.47909,2,1,516.04
1,13/07/2019,1,289.55533,0,0.62507,32.85142,9.66624,0,0,704.66
2,13/07/2019,1,261.2948,0,0.63304,30.32819,12.67722,2,0,486.26
27,13/07/2019,1,264.13348,2.72,0.58131,24.46423,9.88086,0,0,186.03
28,13/07/2019,1,327.79889,0,0.77845,31.19126,8.55258,2,2,582.6
29,13/07/2019,1,257.73029,0,0.57515,27.98481,10.9415,1,0,0
7,13/07/2019,1,294.48462,2.59,0.73386,34.43819,11.618,2,4,513.68
6,13/07/2019,1,258.53915,0,0.62531,28.2509,13.24034,1,2,609.18
30,13/07/2019,1,311.42868,0,0.62738,29.39443,9.46359,0,0,534.84
31,13/07/2019,1,250.38306,1,0.57932,22.62993,7.69967,1,0,497.49
8,13/07/2019,1,254.14197,4.16,0.63091,24.37148,10.88873,1,0,543.05
9,13/07/2019,1,291.65134,0,0.60583,34.06761,11.6884,0,0,504.75
11,13/07/2019,1,259.37802,1.92,0.79946,29.02877,10.21474,5,2,610.52
12,13/07/2019,1,275.65021,0,0.62775,30.15969,13.07166,0,1,521.3
35,13/07/2019,1,370.68817,3.29,0.77863,39.3793,9.26082,4,1,509.61
34,13/07/2019,1,345.44318,0,0.73954,40.89527,11.34944,0,0,597.39
13,13/07/2019,1,258.56506,9.18,0.68508,27.79239,11.17982,3,1,661.81
14,13/07/2019,1,264.54788,0,0.63046,23.20148,8.9747,2,1,476.06
15,13/07/2019,1,249.95851,0,0.59674,24.8872,9.09685,2,1,542.76
36,13/07/2019,1,263.56125,0,0.66666,24.96209,7.33414,0,0,328.99
16,13/07/2019,1,285.93927,15.72,0.65882,27.87842,9.54932,3,2,408.14
17,13/07/2019,1,240.67603,2.54,0.52686,25.30362,10.77102,2,2,521.82
19,13/07/2019,1,256.51773,0,0.57378,24.76104,10.76305,0,1,410.86
18,13/07/2019,1,269.85526,0,0.58486,28.78588,11.20221,0,0,432.64
20,13/07/2019,1,275.90021,7.27,0.59291,32.33164,12.46289,0,0,526.74
37,13/07/2019,1,281.52908,0,0.59772,23.72009,7.48777,2,1,311.53
38,13/07/2019,1,346.4437,12.58,0.77515,33.97338,9.62187,0,0,428.52
22,13/07/2019,1,236.33755,0,0.59535,29.97066,11.52582,0,1,496.23
23,13/07/2019,1,292.60367,0,0.70462,31.66482,11.34698,4,2,523.98
24,13/07/2019,2,282.12189,0,0.58695,24.25406,8.33046,1,1,379.77
25,13/07/2019,2,240.82413,0,0.57269,25.88916,12.38274,0,0,534.45
1,13/07/2019,2,229.85759,2.93,0.6599,28.94353,12.36674,4,2,813.5
2,13/07/2019,2,284.88763,0,0.65179,32.16763,11.46472,0,3,518.05
27,13/07/2019,2,310.24124,1.59,0.64152,31.65119,12.38664,1,1,368.97
28,13/07/2019,2,331.6019,11.14,0.74622,34.55609,10.79498,4,2,707.56
29,13/07/2019,2,302.64767,0,0.64987,32.93874,14.47023,1,2,0
7,13/07/2019,2,311.05807,6.65,0.70733,36.63574,12.21014,0,0,539.84
6,13/07/2019,2,299.64328,0,0.59395,30.93925,11.71989,2,0,656.38
30,13/07/2019,2,364.57471,0,0.63559,33.08549,9.69647,0,0,638.53
31,13/07/2019,2,295.763,44.02,0.66439,27.25413,9.14488,2,1,461.15
8,13/07/2019,2,310.40991,0,0.69224,31.10963,11.92491,0,1,695.74
9,13/07/2019,2,254.22339,0,0.63832,33.39388,14.29701,0,0,563.23
11,13/07/2019,2,248.9852,0,0.62083,23.74566,10.30112,0,1,577.73
12,13/07/2019,2,281.59167,0,0.6452,33.72755,13.79112,2,1,580.42
35,13/07/2019,2,295.09299,0,0.62739,31.26512,13.16467,0,1,445.92
34,13/07/2019,2,335.42517,0,0.69825,39.02512,13.15451,0,0,551.03
13,13/07/2019,2,283.46021,1.75,0.66465,28.60058,10.55203,1,1,762.78
14,13/07/2019,2,294.81598,2.52,0.7151,26.65139,9.61858,1,3,591.29
15,13/07/2019,2,244.71161,0,0.5657,27.59958,14.11429,2,0,578.93
36,13/07/2019,2,309.72949,0,0.71137,29.109,8.32442,0,1,416.86
16,13/07/2019,2,309.92603,5.71,0.7566,32.92088,11.50392,1,0,504.21
17,13/07/2019,2,277.49173,10.67,0.6072,27.44848,10.41574,3,1,627.21
19,13/07/2019,2,277.43637,0,0.64087,28.01017,10.41705,0,2,464.38
18,13/07/2019,2,313.05264,10.74,0.63433,34.99439,12.6122,2,1,560.61
20,13/07/2019,2,258.19537,0,0.61394,30.16894,11.30449,3,3,643.75
37,13/07/2019,2,264.50992,3.92,0.5956,23.0089,9.24046,4,0,370.49
38,13/07/2019,2,340.94485,6.4,0.68028,33.78923,9.63313,0,0,452.3
22,13/07/2019,2,245.40318,0,0.61072,30.02736,14.33162,0,2,569.17
23,13/07/2019,2,275.91586,0,0.57938,31.95023,15.17047,1,0,543.78
24,13/07/2019,3,344.19946,0,0.69146,31.7111,10.51663,1,3,552.7
25,13/07/2019,3,356.57089,4.54,0.66378,36.13047,10.01337,0,7,678.06
1,13/07/2019,3,302.1937,0,0.6385,32.21182,11.73785,0,0,853.4
2,13/07/2019,3,281.88666,2.39,0.67935,31.87376,13.01563,2,0,578.93
27,13/07/2019,3,355.35138,8.39,0.70495,34.23262,8.65936,0,1,468.12
28,13/07/2019,3,349.75476,23.09,0.75526,33.47975,10.94206,0,0,747.63
29,13/07/2019,3,333.15601,19.47,0.65568,43.2038,15.12982,4,2,358.14
7,13/07/2019,3,324.27353,12,0.76294,38.44775,13.72646,2,2,567.58
6,13/07/2019,3,299.40463,10.26,0.6798,33.88938,13.56863,2,2,751.44
30,13/07/2019,3,229.01839,0,0.50013,22.25388,14.5903,0,0,514.49
31,13/07/2019,3,330.1633,12.9,0.69313,29.07163,7.34515,2,1,477.62
8,13/07/2019,3,288.19492,2.38,0.64391,27.98908,11.73065,1,1,688.76
9,13/07/2019,3,304.34009,0,0.60692,37.43362,16.5845,0,0,586.27
11,13/07/2019,3,284.70291,0,0.59796,27.03671,12.46158,0,0,603.45
12,13/07/2019,3,309.19824,6.47,0.7595,38.76377,15.26491,2,2,664.62
35,13/07/2019,3,363.27057,34.09,0.75619,38.46933,9.46988,6,3,548.01
34,13/07/2019,3,401.71954,6.48,0.72674,47.15787,11.53152,0,0,581.02
13,13/07/2019,3,291.03342,1.31,0.62423,26.88657,10.6346,1,4,774.3
14,13/07/2019,3,310.11102,10.73,0.73754,26.93179,9.98637,2,0,657.2
15,13/07/2019,3,276.20062,0,0.60133,22.48495,9.01221,0,1,586.13
36,13/07/2019,3,284.32434,0,0.73029,27.76009,8.75032,0,0,409.03
16,13/07/2019,3,342.65109,3.02,0.8101,36.43773,10.98126,2,2,582.76
17,13/07/2019,3,302.69876,12.63,0.66577,31.08606,12.30293,3,1,685.64
19,13/07/2019,3,313.35196,5.53,0.65182,30.69156,11.50861,1,4,559.9
18,13/07/2019,3,329.79349,2.47,0.60427,33.64625,10.75731,0,0,576.45
